requests;min;max;mean
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.103031;0.00103031
100;0;0;0
100;0;0.068397;0.00132933
100;0;0.104801;0.00104801
100;0;0.052892;0.00058167
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.052597;0.00052597
100;0;0;0
100;0;0;0
100;0;0.021737;0.00021737
100;0;0;0
100;0;0;0
100;0;0.028177;0.00028177
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.055697;0.00055697
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.023869;0.00023869
100;0;0.020914;0.00020914
100;0;0.106379;0.00195901
100;0;0;0
100;0;0.001978;1.978e-05
100;0;0;0
100;0;0.109126;0.00110708
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.068869;0.00106693
100;0;0.080715;0.00080715
100;0;0.096027;0.00185646
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.030248;0.00030248
100;0;0;0
100;0;0.11332;0.0011332
100;0;0;0
100;0;0;0
100;0;0.012961;0.00012961
100;0;0;0
100;0;0;0
100;0;0.092196;0.00092196
100;0;0.007602;7.602e-05
100;0;0.094537;0.00182789
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.009966;9.966e-05
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.008152;8.152e-05
100;0;0.036501;0.00036501
100;0;0;0
100;0;0;0
100;0;0.103598;0.00103598
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.108543;0.00108543
100;0;0;0
100;0;0;0
100;0;0.050146;0.00097495
100;0;0;0
100;0;0;0
100;0;0.061829;0.00061829
100;0;0.088598;0.00088598
100;0;0;0
100;0;0.04452;0.0004452
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.005458;5.458e-05
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.014857;0.00014857
100;0;0.020193;0.00020193
100;0;0.079769;0.00079769
100;0;0;0
100;0;0.088998;0.00098968
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.118209;0.00118209
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.022987;0.00022987
100;0;0.001574;1.574e-05
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.08977;0.0008977
100;0;0;0
100;0;0;0
100;0;0.093746;0.0014018
100;0;0;0
100;0;0;0
100;0;0.052548;0.00052548
100;0;0.004098;4.098e-05
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.075052;0.00075052
100;0;0;0
100;0;0;0
100;0;0.118265;0.00161583
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.136938;0.00136938
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.060484;0.00090523
100;0;0;0
100;0;0.081218;0.00081218
100;0;0.043966;0.00043966
100;0;0.04128;0.00044499
100;0;0;0
100;0;0.070426;0.00070426
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.013169;0.00013169
100;0;0;0
100;0;0.115771;0.00151413
100;0;0.055759;0.00055759
100;0;0.042731;0.00042731
100;0;0;0
100;0;0.002868;2.868e-05
100;0;0.009252;9.252e-05
100;0;0;0
100;0;0;0
100;0;0.003424;3.424e-05
100;0;0;0
100;0;0.045205;0.00045205
100;0;0;0
100;0;0;0
100;0;0.060975;0.00060975
100;0;0;0
100;0;0.017756;0.00017756
100;0;0;0
100;0;0.080813;0.00082206
100;0;0;0
100;0;0;0
100;0;0.011003;0.00011003
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.074042;0.00081537
100;0;0;0
100;0;0;0
100;0;0.164296;0.00231999
100;0;0.103261;0.0014049
100;0;0;0
100;0;0.076969;0.00076969
100;0;0;0
100;0;0;0
100;0;0.003031;3.521e-05
100;0;0.051532;0.00051532
100;0;0.070308;0.00070308
100;0;0;0
100;0;0;0
100;0;0.033955;0.00033955
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.053066;0.00053066
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.142536;0.00142536
100;0;0.063448;0.00063448
100;0;0;0
100;0;0.07832;0.0007832
100;0;0;0
100;0;0.071813;0.00071813
100;0;0.012938;0.00012938
100;0;0;0
100;0;0.056902;0.00111498
100;0;0;0
100;0;0;0
100;0;0.050402;0.00050402
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.149437;0.00149437
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.045866;0.00045866
100;0;0.046613;0.00046613
100;0;0;0
100;0;0.107949;0.00107949
100;0;0;0
100;0;0;0
100;0;0.099766;0.00099766
100;0;0;0
100;0;0.025072;0.00025072
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.033398;0.00033398
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.005648;5.648e-05
100;0;0.059922;0.00065216
100;0;0.089651;0.00089651
100;0;0.00592;5.92e-05
100;0;0.094217;0.00094217
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.144075;0.00144075
100;0;0;0
100;0;0;0
100;0;0.064726;0.00085712
100;0;0;0
100;0;0.044911;0.00044911
100;0;0.04472;0.0004472
100;0;0.099017;0.00099017
100;0;0.123587;0.00123587
100;0;0.040305;0.00040305
100;0;0;0
100;0;0.113783;0.00113783
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.126703;0.00126703
100;0;0;0
100;0;0.086824;0.00099007
100;0;0;0
100;0;0;0
100;0;0;0
100;0;0.053606;0.00053606
