requests;min;max;mean
100;0.4;0.8;0.612
100;0.4;0.8;0.621
100;0.4;0.8;0.603
100;0.4;0.9;0.651
100;0.4;0.9;0.626
100;0.4;0.9;0.63
100;0.4;0.8;0.616
100;0.4;0.8;0.612
100;0.4;0.8;0.613
100;0.4;0.8;0.626
100;0.4;0.8;0.636
100;0.4;1.27095;0.62771
100;0.4;0.8;0.634
100;0.4;0.8;0.626746
100;0.4;0.8;0.615
100;0.4;0.8;0.655
100;0.4;0.8;0.613
100;0.4;0.8;0.627
100;0.4;1.02762;0.640276
100;0.4;0.8;0.635
100;0.4;0.8;0.64
100;0.4;0.9;0.628
100;0.4;0.8;0.649
100;0.4;0.8;0.632
100;0.4;0.8;0.61
100;0.4;0.8;0.615
100;0.4;0.8;0.621
100;0.4;0.9;0.644
100;0.4;0.8;0.623
100;0.4;0.8;0.64
100;0.4;0.8;0.655843
100;0.4;0.8;0.618
100;0.4;0.8;0.622031
100;0.4;0.8;0.611
100;0.4;0.8;0.59
100;0.4;0.8;0.647
100;0.4;0.8;0.61
100;0.4;0.8;0.626
100;0.4;0.8;0.631
100;0.4;0.7;0.62
100;0.4;0.8;0.632
100;0.4;0.8;0.644
100;0.4;0.8;0.647
100;0.4;0.8;0.606
100;0.4;1.121;0.61921
100;0.4;0.8;0.621
100;0.4;1.2488;0.648488
100;0.4;0.8;0.627
100;0.4;0.8;0.639
100;0.4;0.8;0.649
100;0.4;1.10398;0.63404
100;0.4;0.8;0.658
100;0.4;0.8;0.631
100;0.4;0.8;0.627
100;0.4;0.8;0.639976
100;0.4;0.8;0.642
100;0.4;0.8;0.624
100;0.4;0.8;0.654
100;0.4;0.8;0.637085
100;0.4;0.8;0.639
100;0.4;0.8;0.638233
100;0.4;0.8;0.642964
100;0.4;0.8;0.604
100;0.4;0.8;0.631
100;0.4;0.7;0.642
100;0.4;0.8;0.613
100;0.4;0.7;0.609
100;0.4;0.8;0.619
100;0.4;0.7;0.606
100;0.4;0.8;0.629
100;0.4;0.8;0.616
100;0.4;0.855252;0.645553
100;0.4;0.8;0.605
100;0.4;1.29484;0.648948
100;0.4;0.8;0.624
100;0.4;0.8;0.625
5;0.4;0.7;0.6
