server id;request type;request time;read request;response time
2000;viewAvailableShippings;603.485191;603.485191;604.085191
2100;searchProduct;1088.291126;1088.291126;1088.991126
2100;searchProduct;1242.363640;1242.363640;1243.063640
2100;addToCart;2200.545527;2200.545527;2200.945527
2100;searchProduct;2971.306280;2971.306280;2972.006280
2000;takeInChargeShipping;3388.591130;3388.591130;3388.991130
2100;searchProduct;4116.596772;4116.596772;4117.296772
2100;searchProduct;4735.267135;4735.267135;4735.967135
2100;searchProduct;4924.750916;4924.750916;4925.450916
2100;searchProduct;5105.173006;5105.173006;5105.873006
2100;searchProduct;5276.236114;5276.236114;5276.936114
2100;searchProduct;5638.553094;5638.553094;5639.253094
2100;addToCart;5651.276193;5651.276193;5651.676193
2200;viewStatistics;5682.769958;5682.769958;5683.569958
2100;searchProduct;5817.915539;5817.915539;5818.615539
2100;searchProduct;5909.014858;5909.014858;5909.714858
2100;searchProduct;6071.817354;6071.817354;6072.517354
2100;searchProduct;6162.559168;6162.559168;6163.259168
2000;changeStatusDelivery;6303.370096;6303.370096;6303.770096
2100;searchProduct;6847.413838;6847.413838;6848.113838
2100;searchProduct;6858.181143;6858.181143;6858.881143
2100;searchProduct;7659.767114;7659.767114;7660.467114
2100;addToCart;7732.330391;7732.330391;7732.730391
2100;searchProduct;8094.459710;8094.459710;8095.159710
2100;searchProduct;8713.707588;8713.707588;8714.407588
2100;searchProduct;8743.536905;8743.536905;8744.236905
2100;addToCart;9084.186525;9084.186525;9084.586525
2100;searchProduct;9385.359454;9385.359454;9386.059454
2100;searchProduct;9802.753489;9802.753489;9803.453489
2100;searchProduct;10584.256699;10584.256699;10584.956699
2100;searchProduct;13290.084311;13290.084311;13290.784311
2100;searchProduct;13310.460383;13310.460383;13311.160383
2100;searchProduct;15379.969591;15379.969591;15380.669591
2100;searchProduct;15824.574818;15824.574818;15825.274818
2100;searchProduct;17388.558542;17388.558542;17389.258542
2100;searchProduct;18362.654396;18362.654396;18363.354396
2100;addToCart;19178.550032;19178.550032;19178.950032
2100;searchProduct;19255.834882;19255.834882;19256.534882
2100;searchProduct;19642.434889;19642.434889;19643.134889
2100;searchProduct;19644.323290;19644.323290;19645.023290
2100;addToCart;20469.563108;20469.563108;20469.963108
2100;searchProduct;20603.967433;20603.967433;20604.667433
2100;searchProduct;20817.199804;20817.199804;20817.899804
2100;searchProduct;21336.321284;21336.321284;21337.021284
2100;searchProduct;21461.374383;21461.374383;21462.074383
2100;searchProduct;21729.875911;21729.875911;21730.575911
2100;searchProduct;21891.931421;21891.931421;21892.631421
2100;addToCart;22130.387714;22130.387714;22130.787714
2100;searchProduct;22274.479747;22274.479747;22275.179747
2100;searchProduct;22343.171961;22343.171961;22343.871961
2100;searchProduct;22545.292668;22545.292668;22545.992668
2100;searchProduct;22655.127428;22655.127428;22655.827428
2100;searchProduct;22665.039585;22665.039585;22665.739585
2100;searchProduct;22749.020609;22749.020609;22749.720609
2100;searchProduct;22823.228854;22823.228854;22823.928854
2100;searchProduct;23100.894037;23100.894037;23101.594037
2100;searchProduct;23151.176080;23151.176080;23151.876080
2100;searchProduct;23185.438642;23185.438642;23186.238642
2100;addToCart;23420.404474;23420.404474;23420.804474
2100;addToCart;23563.617115;23563.617115;23564.017115
2100;searchProduct;23691.500436;23691.500436;23692.200436
2100;searchProduct;23762.449711;23762.449711;23763.149711
2100;searchProduct;23829.268931;23829.268931;23829.968931
2100;searchProduct;23991.262925;23991.262925;23991.962925
2100;searchProduct;24125.962385;24125.962385;24126.662385
2100;addToCart;24209.596421;24209.596421;24209.996421
2100;searchProduct;24240.322453;24240.322453;24241.022453
2100;searchProduct;24602.342508;24602.342508;24603.042508
2100;searchProduct;24989.207280;24989.207280;24989.907280
2100;searchProduct;25277.129949;25277.129949;25277.829949
2100;searchProduct;25637.850218;25637.850218;25638.550218
2100;addToCart;25664.055829;25664.055829;25664.455829
2100;searchProduct;25702.017677;25702.017677;25702.717677
2100;searchProduct;25903.110799;25903.110799;25903.810799
2100;addToCart;26191.048212;26191.048212;26191.448212
2100;searchProduct;26260.750749;26260.750749;26261.450749
2100;searchProduct;26662.294928;26662.294928;26662.994928
2100;searchProduct;26865.239777;26865.239777;26865.939777
2100;searchProduct;26963.451838;26963.451838;26964.151838
2100;searchProduct;27278.944833;27278.944833;27279.644833
2100;searchProduct;27488.942168;27488.942168;27489.642168
2100;searchProduct;28307.063928;28307.063928;28307.763928
2100;searchProduct;28351.279500;28351.279500;28351.979500
2100;addToCart;28892.177376;28892.177376;28892.577376
2100;searchProduct;28951.334283;28951.334283;28952.034283
2100;searchProduct;29013.403373;29013.403373;29014.103373
2100;searchProduct;29081.633470;29081.633470;29082.333470
2100;addToCart;29258.807843;29258.807843;29259.207843
2100;addToCart;29332.762061;29332.762061;29333.162061
2100;searchProduct;29510.157009;29510.157009;29510.857009
2100;searchProduct;29696.190026;29696.190026;29696.890026
2100;searchProduct;29872.925811;29872.925811;29873.625811
2100;addToCart;30006.681749;30006.681749;30007.081749
2100;searchProduct;30031.632770;30031.632770;30032.332770
2100;searchProduct;30039.675567;30039.675567;30040.375567
2100;searchProduct;30375.718416;30375.718416;30376.418416
2000;changeStatusDelivery;30469.216615;30469.216615;30469.616615
2100;searchProduct;30635.131799;30635.131799;30635.831799
2100;searchProduct;30759.681267;30759.681267;30760.381267
2100;searchProduct;30767.134209;30767.134209;30767.834209
2100;addToCart;30810.305758;30810.305758;30810.705758
2100;searchProduct;30881.751412;30881.751412;30882.451412
2100;searchProduct;30970.648325;30970.648325;30971.348325
2100;addToCart;31025.310662;31025.310662;31025.710662
2100;addToCart;31132.895174;31132.895174;31133.295174
2100;addToCart;31168.020534;31168.020534;31168.420534
2100;searchProduct;31267.002503;31267.002503;31267.702503
2100;searchProduct;31339.077175;31339.077175;31339.777175
2100;searchProduct;31479.355483;31479.355483;31480.055483
2100;addToCart;31659.321223;31659.321223;31659.721223
2100;addToCart;31803.234366;31803.234366;31803.634366
2100;addToCart;31871.639729;31871.639729;31872.039729
2100;searchProduct;31994.362675;31994.362675;31995.062675
2100;searchProduct;32515.452322;32515.452322;32516.152322
2100;addToCart;32595.095733;32595.095733;32595.495733
2100;searchProduct;32632.018133;32632.018133;32632.718133
2100;searchProduct;32774.141823;32774.141823;32774.841823
2100;searchProduct;33171.562986;33171.562986;33172.262986
2100;searchProduct;33228.151325;33228.151325;33228.851325
2100;searchProduct;33424.760798;33424.760798;33425.460798
2100;searchProduct;33799.671474;33799.671474;33800.371474
2100;searchProduct;33882.380475;33882.380475;33883.080475
2100;searchProduct;34136.559995;34136.559995;34137.259995
2100;searchProduct;34798.456774;34798.456774;34799.156774
2100;searchProduct;35159.902951;35159.902951;35160.602951
2100;searchProduct;35587.057096;35587.057096;35587.757096
2100;searchProduct;35759.231974;35759.231974;35759.931974
2100;searchProduct;35973.880179;35973.880179;35974.580179
2100;searchProduct;36606.094877;36606.094877;36606.794877
2100;searchProduct;37016.171972;37016.171972;37016.871972
2100;addToCart;37094.166729;37094.166729;37094.566729
2100;searchProduct;37291.798508;37291.798508;37292.498508
2100;searchProduct;37820.761941;37820.761941;37821.461941
2100;searchProduct;38265.277435;38265.277435;38265.977435
2100;searchProduct;38357.659074;38357.659074;38358.359074
2100;searchProduct;38762.357581;38762.357581;38763.057581
2100;searchProduct;38772.437898;38772.437898;38773.137898
2100;addToCart;39408.104779;39408.104779;39408.504779
2100;searchProduct;39898.396087;39898.396087;39899.096087
2100;searchProduct;40289.138852;40289.138852;40289.838852
