min;max;mean
1.01;1.75252;1.01743
1.01;1.75252;1.01499
1.01;1.93762;1.01911
1.01;1.93762;1.01879
1.01;1.93762;1.01767
1.01;1.93762;1.01714
1.01;1.93762;1.01649
1.01;1.93762;1.01568
1.01;1.93762;1.01722
1.01;1.93762;1.01666
1.01;1.93762;1.01779
1.01;1.93762;1.01771
1.01;1.93762;1.01929
1.01;1.93762;1.01988
1.01;1.93762;1.02016
1.01;2.01417;1.0204
1.01;2.01417;1.01979
1.01;2.01417;1.01992
1.01;2.01417;1.01961
1.01;2.01417;1.0194
1.01;2.01417;1.01991
1.01;2.01417;1.01981
1.01;2.01417;1.01991
1.01;2.01417;1.02038
1.01;2.01417;1.02021
1.01;2.01417;1.01995
1.01;2.01417;1.01982
1.01;2.01417;1.01976
1.01;2.01417;1.02001
1.01;2.01417;1.01984
1.01;2.01417;1.02068
1.01;2.01417;1.02035
1.01;2.01417;1.02039
1.01;2.01417;1.02074
1.01;2.01417;1.02087
1.01;2.01417;1.02076
1.01;2.01417;1.02052
1.01;2.01417;1.02059
1.01;2.01417;1.02076
1.01;2.01417;1.02065
1.01;2.01417;1.02094
1.01;2.01417;1.0212
1.01;2.01509;1.02124
1.01;2.01509;1.02106
1.01;2.01509;1.02123
1.01;2.01509;1.02117
1.01;2.01509;1.02137
1.01;2.01509;1.02137
1.01;2.01509;1.02124
1.01;2.01509;1.02125
1.01;2.01509;1.02122
1.01;2.01509;1.02143
1.01;2.01509;1.0214
1.01;2.01509;1.02119
1.01;2.01509;1.02099
1.01;2.01509;1.02087
1.01;2.01509;1.02113
1.01;2.01509;1.02094
1.01;2.01509;1.02117
1.01;2.01509;1.0212
1.01;2.01509;1.02134
1.01;2.01509;1.02115
1.01;2.01509;1.0213
1.01;2.01509;1.0213
1.01;2.01509;1.02121
1.01;2.03546;1.02134
1.01;2.03546;1.02117
1.01;2.03546;1.021
1.01;2.03546;1.02123
1.01;2.03546;1.02121
1.01;2.03546;1.02105
1.01;2.03546;1.02098
1.01;2.03546;1.02083
1.01;2.03546;1.02072
1.01;2.03546;1.02058
1.01;2.03546;1.02074
1.01;2.03546;1.02074
1.01;2.03546;1.02104
1.01;2.03546;1.02099
1.01;2.03546;1.02085
1.01;2.03546;1.02073
1.01;2.03546;1.02072
1.01;2.03546;1.02062
1.01;2.03546;1.02064
1.01;2.03546;1.02067
1.01;2.03546;1.02069
1.01;2.03546;1.02068
1.01;2.03546;1.02062
1.01;2.03546;1.02052
1.01;2.03546;1.02045
1.01;2.03546;1.0205
1.01;2.03546;1.02049
1.01;2.03546;1.02047
1.01;2.03546;1.02049
1.01;2.03546;1.02046
1.01;2.03546;1.02051
1.01;2.03546;1.02042
1.01;2.03546;1.02039
1.01;2.03546;1.02056
1.01;2.03546;1.0206
1.01;2.03546;1.02059
1.01;2.03546;1.02062
1.01;2.03546;1.02075
1.01;2.03546;1.02081
1.01;2.03546;1.02086
1.01;2.03546;1.02097
1.01;2.03546;1.021
1.01;2.03546;1.02097
1.01;2.03546;1.02094
1.01;2.03546;1.02104
1.01;2.03546;1.02096
1.01;2.03546;1.02097
1.01;2.03546;1.02087
1.01;2.03546;1.02088
1.01;2.03546;1.02079
1.01;2.03546;1.02077
1.01;2.03546;1.02075
1.01;2.03546;1.02081
1.01;2.03546;1.02072
1.01;2.03546;1.02088
1.01;2.03546;1.02082
1.01;2.03546;1.02085
1.01;2.03546;1.02093
1.01;2.03546;1.02098
1.01;2.03546;1.02099
1.01;2.03546;1.02101
1.01;2.03546;1.02098
1.01;2.03546;1.02092
1.01;2.03546;1.02083
1.01;2.03546;1.02091
1.01;2.03546;1.02091
1.01;2.1377;1.02109
1.01;2.1377;1.02124
1.01;2.1377;1.02116
1.01;2.1377;1.0212
1.01;2.1377;1.02112
1.01;2.1377;1.0211
1.01;2.1377;1.02115
1.01;2.1377;1.02114
1.01;2.1377;1.02123
1.01;2.1377;1.02132
1.01;2.1377;1.02138
1.01;2.1377;1.02136
1.01;2.1377;1.02134
1.01;2.1377;1.02126
1.01;2.1377;1.0213
1.01;2.1377;1.02127
1.01;2.1377;1.02124
