startRequest;endResponse
46.3818;47.3918;1.01
249.764;250.774;1.01
258.3;259.31;1.01
260.924;261.934;1.01
269.297;270.307;1.01
347.445;348.455;1.01
551.229;552.239;1.01
632.619;633.629;1.01
762.663;763.673;1.01
904.596;905.606;1.01
917.826;918.836;1.01
961.101;962.111;1.01
1001.04;1002.05;1.01
1099.47;1100.48;1.01
1107.32;1108.33;1.01
1272.64;1273.65;1.01
1298.84;1299.85;1.01
1421.59;1422.6;1.01
1740.97;1741.98;1.01
1745.64;1746.65;1.01
1798.76;1799.77;1.01
1846.53;1847.54;1.01
1966.9;1967.91;1.01
2008.82;2009.83;1.01
2114.81;2115.82;1.01
2143.1;2144.11;1.01
2146.81;2147.82;1.01
2338.28;2339.29;1.01
2502.58;2503.59;1.01
2518.44;2519.45;1.01
2782.85;2783.86;1.01
2786.16;2787.17;1.01
2798.75;2799.76;1.01
2827.3;2828.31;1.01
2849.81;2850.82;1.01
2919.05;2920.06;1.01
2935.57;2936.58;1.01
2947.94;2948.95;1.01
2961.42;2962.43;1.01
2983.71;2984.72;1.01
3035.53;3036.54;1.01
3084.26;3085.27;1.01
3135.06;3136.07;1.01
3252.93;3253.94;1.01
3276.23;3277.24;1.01
3367.38;3368.39;1.01
3540.29;3541.3;1.01
3546.2;3547.21;1.01
4213.2;4214.21;1.01
4310.94;4311.95;1.01
4405.5;4406.51;1.01
4430.12;4431.13;1.01
4455.24;4456.25;1.01
4499.12;4500.13;1.01
4565.12;4566.13;1.01
4618.67;4619.68;1.01
4771.63;4772.64;1.01
5087.95;5088.96;1.01
5168.03;5169.04;1.01
5180.96;5181.97;1.01
5441.71;5442.72;1.01
5447.93;5448.94;1.01
5566.1;5567.11;1.01
5685.5;5686.51;1.01
5769.08;5770.09;1.01
5798.85;5799.86;1.01
5845;5846.01;1.01
5884.98;5885.99;1.01
5965.59;5966.6;1.01
5989.78;5990.79;1.01
6357.25;6358.26;1.01
6516.81;6517.82;1.01
6609.6;6610.61;1.01
6613.45;6614.46;1.01
6676.03;6677.04;1.01
6849.73;6850.74;1.01
6889.58;6890.59;1.01
6903.1;6904.11;1.01
7166.86;7167.87;1.01
7342.4;7343.41;1.01
7434.06;7435.07;1.01
7476.52;7477.53;1.01
7542.92;7543.93;1.01
7710.5;7711.51;1.01
7792.46;7793.47;1.01
7852.25;7853.26;1.01
7906.23;7907.24;1.01
8163.53;8164.54;1.01
8165.87;8166.88;1.01
8250.07;8251.08;1.01
8323.25;8324.26;1.01
8361.29;8362.3;1.01
8632.36;8633.37;1.01
8754.52;8755.53;1.01
8770.96;8771.97;1.01
8855.88;8856.89;1.01
9060.42;9061.43;1.01
9060.68;9062.44;1.75252
9204.15;9205.16;1.01
9383.82;9384.83;1.01
9404.61;9405.62;1.01
9412.84;9413.85;1.01
9509.32;9510.33;1.01
9585.33;9586.34;1.01
9657.9;9658.91;1.01
9819.58;9820.59;1.01
9940.79;9941.8;1.01
10007.2;10008.2;1.01
10057.7;10058.7;1.01
10259.7;10260.7;1.01
10349.1;10350.1;1.01
10356.7;10357.7;1.01
